epoch,tag,true,pred_Conservative,pred_Liberal,pred_Neutral
0,train,Conservative,194,117,894
0,train,Liberal,230,124,1051
0,train,Neutral,94,32,292
0,validation,Conservative,35,36,178
0,validation,Liberal,58,42,196
0,validation,Neutral,33,11,60
1,train,Conservative,177,114,914
1,train,Liberal,197,114,1094
1,train,Neutral,70,29,319
1,validation,Conservative,34,42,173
1,validation,Liberal,43,48,205
1,validation,Neutral,25,16,63
2,train,Conservative,212,120,873
2,train,Liberal,230,145,1030
2,train,Neutral,74,31,313
2,validation,Conservative,64,59,126
2,validation,Liberal,64,67,165
2,validation,Neutral,31,19,54
3,train,Conservative,256,155,794
3,train,Liberal,266,172,967
3,train,Neutral,50,39,329
3,validation,Conservative,47,76,126
3,validation,Liberal,56,89,151
3,validation,Neutral,21,24,59
4,train,Conservative,223,233,749
4,train,Liberal,225,285,895
4,train,Neutral,45,57,316
4,validation,Conservative,52,81,116
4,validation,Liberal,50,107,139
4,validation,Neutral,17,28,59
-1,test,Conservative,56,87,104
-1,test,Liberal,66,127,131
-1,test,Neutral,12,22,44
